Recipe	Batch Size	Ingredient	Quantity (kg)	Step / Section	Process Notes
Tummy Tea = 30kg	30 kg	Barberry Bark	0.75	In a silver basin, add below ingredients and then mix WELL	
Tummy Tea = 30kg	30 kg	Liquorice Root	5.25	In a silver basin, add below ingredients and then mix WELL	
Tummy Tea = 30kg	30 kg	Gotu kola	0.75	In a silver basin, add below ingredients and then mix WELL	
Tummy Tea = 30kg	30 kg	Cinnamon chips	3.75	In a silver basin, add below ingredients and then mix WELL	
Tummy Tea = 30kg	30 kg	Cornflowers	0.75	In a silver basin, add below ingredients and then mix WELL	
Fire Starter = 25kg	25 kg	Oolong	10.0	In ONE big silver basin, weigh the following ingredients	Weighing: Dry Ingredients | Mixing: In silver basin | Bucketing: Bucket into 20ltr buckets | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | Once all ingredients are mixed well, fill 20ltr white buckets and place lid ontop | Date the lid with the date of manufacturing
Fire Starter = 25kg	25 kg	Rhodiola Root	2.0	In ONE big silver basin, weigh the following ingredients	
Fire Starter = 25kg	25 kg	Cinnamon chips	4.0	In ONE big silver basin, weigh the following ingredients	
Fire Starter = 25kg	25 kg	Chilli Flakes	1.5	In ONE big silver basin, weigh the following ingredients	
Fire Starter = 25kg	25 kg	Star Anise BROKEN PIECES	1.25	In ONE big silver basin, weigh the following ingredients	
Fire Starter = 25kg	25 kg	Jasmine Bud	3.0	In ONE big silver basin, weigh the following ingredients	
Fire Starter = 25kg	25 kg	Barberry Bark	1.5	In ONE big silver basin, weigh the following ingredients	
Fire Starter = 25kg	25 kg	Barberries	0.5	In ONE big silver basin, weigh the following ingredients	
Fire Starter = 25kg	25 kg	Schisandra Berries	0.5	In ONE big silver basin, weigh the following ingredients	
Fire Starter = 25kg	25 kg	Yerba Mate	1.0	In ONE big silver basin, weigh the following ingredients	
Fire Starter = 20kg	20 kg	Oolong	8.0	In ONE big silver basin, weigh the following ingredients	Weighing: Dry Ingredients | Mixing: In silver basin | Bucketing: red or blue tubs | 1x silver basin for each batch of 20kg | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | Date the lid on tub with the date of manufacturing | Once all ingredients are mixed well, complete assembly in LB warehouse for packaging to TX
Fire Starter = 20kg	20 kg	Cinnamon chips	3.5	In ONE big silver basin, weigh the following ingredients	
Fire Starter = 20kg	20 kg	Chilli Flakes	1.4	In ONE big silver basin, weigh the following ingredients	
Fire Starter = 20kg	20 kg	Jasmine Bud	2.5	In ONE big silver basin, weigh the following ingredients	
Fire Starter = 20kg	20 kg	Barberry Bark	1.3	In ONE big silver basin, weigh the following ingredients	
Fire Starter = 20kg	20 kg	Barberries	0.5	In ONE big silver basin, weigh the following ingredients	
Fire Starter = 20kg	20 kg	Schisandra Berries	0.5	In ONE big silver basin, weigh the following ingredients	
Fire Starter = 20kg	20 kg	Star Anise BROKEN PIECES	1.3	In ONE big silver basin, weigh the following ingredients	
Fire Starter = 20kg	20 kg	Yerba Mate	1.0	In ONE big silver basin, weigh the following ingredients	
Green Stardust = 10kg	10 kg	Brocccoli Sprout Powder	8.0	In a big silver basin, weigh the following ingredients	Weighing: Powders | Bucketing: Bucket into 20ltr buckets | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | **When weighing powders, set up dust extracter machine to suck up any light dust** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | If there are any clumps visible, get circular sifter and sift all clumps over silver basin until no clumps are visible | Once all ingredients are mixed well, fill 20ltr white buckets and place lid ontop | Date the lid with the date of manufacturing
Green Stardust = 10kg	10 kg	lemon myrtle powder	4.0	In a big silver basin, weigh the following ingredients	
Green Stardust = 10kg	10 kg	Freeze Dried Lemon Powder	4.0	In a big silver basin, weigh the following ingredients	
Green Stardust = 10kg	10 kg	Matcha+Moringa	64.0	In a big silver basin, weigh the following ingredients	
Green Stardust = 50kg	50 kg	Brocccoli Sprout Powder	5.0	In a big silver basin, weigh the following ingredients	Weighing: Powders | Mixing: In silver basin | Bucketing: red or blue tubs | 1x silver basin for each batch of 50kg | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | **When weighing powders, set up dust extracter machine to suck up any light dust** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | If there are any clumps visible, get circular sifter and sift all clumps over silver basin until no clumps are visible | Date the lid on tub with the date of manufacturing | Once all ingredients are mixed well, complete assembly in LB warehouse for packaging to TX
Green Stardust = 50kg	50 kg	lemon myrtle powder	2.5	In a big silver basin, weigh the following ingredients	
Green Stardust = 50kg	50 kg	Freeze Dried Lemon Powder	2.5	In a big silver basin, weigh the following ingredients	
Green Stardust = 50kg	50 kg	Matcha ORGANIC -	30.0	In a big silver basin, weigh the following ingredients	
Green Stardust = 50kg	50 kg	Moringa Powder	10.0	In a big silver basin, weigh the following ingredients	
Cacao Stardust = 80kg	80 kg	Maca Powder	2.4	In a big silver basin, weigh the following ingredients	Weighing: Powders | Bucketing: Bucket into 20ltr buckets | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | **When weighing powders, set up dust extracter machine to suck up any light dust** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | If there are any clumps visible, get circular sifter and sift all clumps over silver basin until no clumps are visible | Once all ingredients are mixed well, fill 20ltr white buckets and place lid ontop | Date the lid with the date of manufacturing
Cacao Stardust = 80kg	80 kg	Mesquite Powder	1.6	In a big silver basin, weigh the following ingredients	
Cacao Stardust = 80kg	80 kg	Cinnamon Powder	8.0	In a big silver basin, weigh the following ingredients	
Cacao Stardust = 80kg	80 kg	Cacao Powder	52.0	In a big silver basin, weigh the following ingredients	
Cacao Stardust = 80kg	80 kg	Shroom Bloom	16.0	In a big silver basin, weigh the following ingredients	
Cacao Stardust = 80kg	80 kg	Rhodiola	1.6	In a big silver basin, weigh the following ingredients	
Choc Stardust = 50kg	50 kg	Maca Powder	1.0	In a big silver basin, weigh the following ingredients	Weighing: Powders | Mixing: In silver basin | Bucketing: red or blue tubs | 1x silver basin for each batch of 50kg | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | **When weighing powders, set up dust extracter machine to suck up any light dust** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | If there are any clumps visible, get circular sifter and sift all clumps over silver basin until no clumps are visible | Date the lid on tub with the date of manufacturing | Once all ingredients are mixed well, complete assembly in LB warehouse for packaging to TX
Choc Stardust = 50kg	50 kg	Mesquite Powder	1.0	In a big silver basin, weigh the following ingredients	
Choc Stardust = 50kg	50 kg	Cinnamon Powder	5.0	In a big silver basin, weigh the following ingredients	
Choc Stardust = 50kg	50 kg	Cacao Powder	32.0	In a big silver basin, weigh the following ingredients	
Choc Stardust = 50kg	50 kg	Shroom Bloom	10.0	In a big silver basin, weigh the following ingredients	
Choc Stardust = 50kg	50 kg	Rhodiola	1.0	In a big silver basin, weigh the following ingredients	
Red Stardust = 80kg	80 kg	Beetroot, Acai, Blueberry, Strawberry powder	72.0	In a big silver basin, weigh the following ingredients	Weighing: Powders | Bucketing: Bucket into 20ltr buckets | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | **When weighing powders, set up dust extracter machine to suck up any light dust** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | If there are any clumps visible, get circular sifter and sift all clumps over silver basin until no clumps are visible | Once all ingredients are mixed well, fill 20ltr white buckets and place lid ontop | Date the lid with the date of manufacturing
Red Stardust = 80kg	80 kg	Pomegranate	8.0	In a big silver basin, weigh the following ingredients	
Red Stardust = 50kg	50 kg	Red Stardust mix 3	25.0	In a big silver basin, weigh the following ingredients and mix WELL	Weighing: Powders | Mixing: In silver basin | Bucketing: red or blue tubs | 1x silver basin for each batch of 50kg | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | **When weighing powders, set up dust extracter machine to suck up any light dust** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | If there are any clumps visible, get circular sifter and sift all clumps over silver basin until no clumps are visible | Date the lid on tub with the date of manufacturing | Once all ingredients are mixed well, complete assembly in LB warehouse for packaging to TX
Red Stardust = 50kg	50 kg	Beetroot powder	25.0	In a big silver basin, weigh the following ingredients and mix WELL	
Yellow Stardust = 80kg	80 kg	Freeze Dried Lemon Powder	1.6	In a big silver basin, weigh the following ingredients	Weighing: Powders | Bucketing: Bucket into 20ltr buckets | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | **When weighing powders, set up dust extracter machine to suck up any light dust** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | If there are any clumps visible, get circular sifter and sift all clumps over silver basin until no clumps are visible | Once all ingredients are mixed well, fill 20ltr white buckets and place lid ontop | Date the lid with the date of manufacturing
Yellow Stardust = 80kg	80 kg	Ginger Root Ground	24.0	In a big silver basin, weigh the following ingredients	
Yellow Stardust = 80kg	80 kg	Black Pepper	0.4	In a big silver basin, weigh the following ingredients	
Yellow Stardust = 80kg	80 kg	Cinnamon Ceylon Powder	2.0	In a big silver basin, weigh the following ingredients	
Yellow Stardust = 80kg	80 kg	Turmeric Powder	48.0	In a big silver basin, weigh the following ingredients	
Yellow Stardust = 80kg	80 kg	Amchur	4.0	In a big silver basin, weigh the following ingredients	
Yellow Stardust = 50kg	50 kg	Freeze Dried Lemon Powder	1.0	In a big silver basin, weigh the following ingredients	Weighing: Powders | Bucketing: red or blue tubs | 1x silver basin for each batch of 50kg | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | **When weighing powders, set up dust extracter machine to suck up any light dust** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | If there are any clumps visible, get circular sifter and sift all clumps over silver basin until no clumps are visible | Date the lid on tub with the date of manufacturing | Once all ingredients are mixed well, complete assembly in LB warehouse for packaging to TX
Yellow Stardust = 50kg	50 kg	Ginger Root Ground	15.0	In a big silver basin, weigh the following ingredients	
Yellow Stardust = 50kg	50 kg	Cinnamon Ceylon Powder	1.25	In a big silver basin, weigh the following ingredients	
Yellow Stardust = 50kg	50 kg	Amchur	2.5	In a big silver basin, weigh the following ingredients	
Yellow Stardust = 50kg	50 kg	Black Pepper	0.25	In a big silver basin, weigh the following ingredients	
Yellow Stardust = 50kg	50 kg	Turmeric Powder	30.0	In a big silver basin, weigh the following ingredients	
Chocolate Protein = 60kg	60 kg	Organic Cacao Powder	30.0	In a big silver basin, weigh the following ingredients	Weighing: Dry Ingredients | Mixing: In silver basin | Bucketing: Bucket into 20ltr buckets | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | **When weighing powders, set up dust extracter machine to suck up any light dust** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | If there are any clumps visible, get circular sifter and sift all clumps over silver basin until no clumps are visible | Once all ingredients are mixed well, fill 20ltr white buckets and place lid ontop | Date the lid with the date of manufacturing
Chocolate Protein = 60kg	60 kg	Intermediate Original Protein Powder	30.0	In a big silver basin, weigh the following ingredients	
Chocolate Protein = 50kg	50 kg	Organic Cacao Powder	25.0	In a big silver basin, weigh the following ingredients	Weighing: Dry Ingredients | Mixing: In silver basin | Bucketing: red or blue tubs | 1x silver basin for each batch of 50kg | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | **When weighing powders, set up dust extracter machine to suck up any light dust** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | If there are any clumps visible, get circular sifter and sift all clumps over silver basin until no clumps are visible | Date the lid on tub with the date of manufacturing | Once all ingredients are mixed well, complete assembly in LB warehouse for packaging to TX
Chocolate Protein = 50kg	50 kg	Intermediate Original Protein Powder	25.0	In a big silver basin, weigh the following ingredients	
Caramel Protein = 40kg	40 kg	Mesquite Powder	2.0	In a big silver basin, weigh the following ingredients	Weighing: Dry Ingredients | Mixing: In silver basin | Bucketing: Bucket into 20ltr buckets | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | **When weighing powders, set up dust extracter machine to suck up any light dust** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | If there are any clumps visible, get circular sifter and sift all clumps over silver basin until no clumps are visible | Once all ingredients are mixed well, fill 20ltr white buckets and place lid ontop | Date the lid with the date of manufacturing
Caramel Protein = 40kg	40 kg	Organic Maca Powder	4.0	In a big silver basin, weigh the following ingredients	
Caramel Protein = 40kg	40 kg	Intermediate Original Protein Powder	34.0	In a big silver basin, weigh the following ingredients	
Original Protein = 120kg	120 kg	Brown Rice Protein Powder ORGANIC	54.0	In a big silver basin, weigh the following ingredients	Weighing: Dry Ingredients | Mixing: In silver basin | Bucketing: Bucket into 20ltr buckets | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | **When weighing powders, set up dust extracter machine to suck up any light dust** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | If there are any clumps visible, get circular sifter and sift all clumps over silver basin until no clumps are visible | Once all ingredients are mixed well, fill 20ltr white buckets and place lid ontop | Date the lid with the date of manufacturing
Original Protein = 120kg	120 kg	Pumpkin Seed Protein Powder	6.0	In a big silver basin, weigh the following ingredients	
Original Protein = 120kg	120 kg	Pea Protein Powder - Organic	48.0	In a big silver basin, weigh the following ingredients	
Original Protein = 120kg	120 kg	Hemp Protein Powder	12.0	In a big silver basin, weigh the following ingredients	
Original Protein = 50kg	50 kg	Brown Rice Protein Powder ORGANIC	22.5	In a big silver basin, weigh the following ingredients	Weighing: Dry Ingredients | Mixing: In silver basin | Bucketing: red or blue tubs | 1x silver basin for each batch of 50kg | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | **When weighing powders, set up dust extracter machine to suck up any light dust** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | If there are any clumps visible, get circular sifter and sift all clumps over silver basin until no clumps are visible | Date the lid on tub with the date of manufacturing | Once all ingredients are mixed well, complete assembly in LB warehouse for packaging to TX
Original Protein = 50kg	50 kg	Pumpkin Seed Protein Powder	2.5	In a big silver basin, weigh the following ingredients	
Original Protein = 50kg	50 kg	Pea Protein Powder - Organic	20.0	In a big silver basin, weigh the following ingredients	
Original Protein = 50kg	50 kg	Hemp Protein Powder	5.0	In a big silver basin, weigh the following ingredients	
